Year,Month,TotalNonfarmEmployees,HousingPriceIndex,AnnualPerCapitaIncome,QuarterlyTotalWages,TotalRealGDPChainIndex,TotalGDP,TotalRealGDP,StablePopulation,EmployedIndividuals,AverageWeeklyWagePrivate,UnemploymentRate
2006,1,46.7,162.99,33469,367930206.39560497,90.283,4133.535,4806.415,83.476,45368,589.0,2.9
2006,2,46.7,162.99,33469,367930206.39560497,90.283,4133.535,4806.415,83.476,46649,589.0,2.9
2006,3,46.6,162.99,33469,367930206.39560497,90.283,4133.535,4806.415,83.476,46289,589.0,2.6
2006,4,46.8,163.96,33469,371017816.925648,90.283,4133.535,4806.415,83.476,47049,562.0,2.3
2006,5,47.0,163.96,33469,371017816.925648,90.283,4133.535,4806.415,83.476,46400,562.0,2.4
2006,6,47.1,163.96,33469,371017816.925648,90.283,4133.535,4806.415,83.476,44772,562.0,3.1
2006,7,47.9,162.32,33469,370535942.51529104,90.283,4133.535,4806.415,83.476,45743,569.0,2.8
2006,8,47.4,162.32,33469,370535942.51529104,90.283,4133.535,4806.415,83.476,45629,569.0,2.6
2006,9,47.4,162.32,33469,370535942.51529104,90.283,4133.535,4806.415,83.476,47593,569.0,2.5
2006,10,47.0,164.47,33469,375520997.479891,90.283,4133.535,4806.415,83.476,47920,620.0,2.3
2006,11,47.1,164.47,33469,375520997.479891,90.283,4133.535,4806.415,83.476,47958,620.0,2.3
2006,12,47.2,164.47,33469,375520997.479891,90.283,4133.535,4806.415,83.476,47181,620.0,2.4
2007,1,47.8,165.91,34989,388695940.722412,92.209,4388.038,4908.969,85.232,46591,619.0,2.9
2007,2,47.2,165.91,34989,388695940.722412,92.209,4388.038,4908.969,85.232,47284,619.0,2.8
2007,3,47.3,165.91,34989,388695940.722412,92.209,4388.038,4908.969,85.232,46771,619.0,2.7
2007,4,47.3,168.84,34989,390725568.402986,92.209,4388.038,4908.969,85.232,47270,592.0,2.6
2007,5,47.2,168.84,34989,390725568.402986,92.209,4388.038,4908.969,85.232,46253,592.0,2.6
2007,6,47.3,168.84,34989,390725568.402986,92.209,4388.038,4908.969,85.232,44727,592.0,3.4
2007,7,47.6,167.48,34989,395827173.23714703,92.209,4388.038,4908.969,85.232,45487,607.0,2.9
2007,8,48.2,167.48,34989,395827173.23714703,92.209,4388.038,4908.969,85.232,45761,607.0,2.8
2007,9,47.4,167.48,34989,395827173.23714703,92.209,4388.038,4908.969,85.232,47455,607.0,2.7
2007,10,47.6,168.48,34989,397718171.700651,92.209,4388.038,4908.969,85.232,47980,657.0,2.5
2007,11,47.6,168.48,34989,397718171.700651,92.209,4388.038,4908.969,85.232,48143,657.0,2.6
2007,12,47.5,168.48,34989,397718171.700651,92.209,4388.038,4908.969,85.232,47254,657.0,2.9
2008,1,47.6,169.46,36758,410761337.14990896,94.547,4607.849,5033.459,86.219,46253,646.0,3.1
2008,2,47.9,169.46,36758,410761337.14990896,94.547,4607.849,5033.459,86.219,47920,646.0,2.9
2008,3,48.3,169.46,36758,410761337.14990896,94.547,4607.849,5033.459,86.219,47714,646.0,2.9
2008,4,47.9,167.15,36758,410486658.93753,94.547,4607.849,5033.459,86.219,48152,612.0,2.6
2008,5,47.9,167.15,36758,410486658.93753,94.547,4607.849,5033.459,86.219,47437,612.0,3.1
2008,6,47.7,167.15,36758,410486658.93753,94.547,4607.849,5033.459,86.219,45202,612.0,3.9
2008,7,47.6,166.65,36758,414028784.88432,94.547,4607.849,5033.459,86.219,45721,636.0,3.6
2008,8,47.4,166.65,36758,414028784.88432,94.547,4607.849,5033.459,86.219,45784,636.0,3.5
2008,9,47.9,166.65,36758,414028784.88432,94.547,4607.849,5033.459,86.219,48408,636.0,3.0
2008,10,48.1,167.21,36758,415229310.027232,94.547,4607.849,5033.459,86.219,49161,673.0,2.8
2008,11,48.1,167.21,36758,415229310.027232,94.547,4607.849,5033.459,86.219,48711,673.0,2.9
2008,12,48.1,167.21,36758,415229310.027232,94.547,4607.849,5033.459,86.219,48000,673.0,3.6
